Temperature (C),"	Year", Month, Country
25.326168,1901,1,GHA
28.64299,1901,2,GHA
28.397196,1901,3,GHA
28.612148,1901,4,GHA
27.476635,1901,5,GHA
26.638317,1901,6,GHA
25.646729,1901,7,GHA
25.338318,1901,8,GHA
25.836447,1901,9,GHA
26.87383,1901,10,GHA
27.31215,1901,11,GHA
25.706543,1901,12,GHA
26.136448,1902,1,GHA
28.275702,1902,2,GHA
28.96542,1902,3,GHA
29.637384,1902,4,GHA
28.257944,1902,5,GHA
25.876637,1902,6,GHA
25.63084,1902,7,GHA
25.497196,1902,8,GHA
25.671026,1902,9,GHA
26.081308,1902,10,GHA
27.345795,1902,11,GHA
26.456076,1902,12,GHA
26.904673,1903,1,GHA
28.971964,1903,2,GHA
29.453272,1903,3,GHA
29.137384,1903,4,GHA
28.124298,1903,5,GHA
26.596262,1903,6,GHA
25.545795,1903,7,GHA
25.268223,1903,8,GHA
25.725235,1903,9,GHA
26.913082,1903,10,GHA
27.229908,1903,11,GHA
26.46542,1903,12,GHA
26.80841,1904,1,GHA
28.738317,1904,2,GHA
29.452337,1904,3,GHA
29.085047,1904,4,GHA
28.175701,1904,5,GHA
26.674765,1904,6,GHA
25.602804,1904,7,GHA
25.336449,1904,8,GHA
25.832712,1904,9,GHA
26.899067,1904,10,GHA
27.299067,1904,11,GHA
26.538319,1904,12,GHA
25.998133,1905,1,GHA
27.160748,1905,2,GHA
28.446728,1905,3,GHA
28.77944,1905,4,GHA
28.186916,1905,5,GHA
26.078503,1905,6,GHA
25.615887,1905,7,GHA
25.002804,1905,8,GHA
25.594393,1905,9,GHA
26.911215,1905,10,GHA
27.647663,1905,11,GHA
26.681309,1905,12,GHA
26.172897,1906,1,GHA
29.086918,1906,2,GHA
29.74299,1906,3,GHA
30.799067,1906,4,GHA
28.339252,1906,5,GHA
27.162617,1906,6,GHA
25.248598,1906,7,GHA
25.1,1906,8,GHA
26.057943,1906,9,GHA
26.831776,1906,10,GHA
27.210281,1906,11,GHA
26.584112,1906,12,GHA
26.961681,1907,1,GHA
27.419626,1907,2,GHA
29.096262,1907,3,GHA
28.958878,1907,4,GHA
29.02243,1907,5,GHA
26.646729,1907,6,GHA
26.209345,1907,7,GHA
25.319626,1907,8,GHA
25.931774,1907,9,GHA
27.881308,1907,10,GHA
27.409344,1907,11,GHA
25.814953,1907,12,GHA
26.723364,1908,1,GHA
28.476635,1908,2,GHA
29.157944,1908,3,GHA
29.575703,1908,4,GHA
28.524298,1908,5,GHA
27.300934,1908,6,GHA
26.02243,1908,7,GHA
24.991589,1908,8,GHA
25.87383,1908,9,GHA
26.58318,1908,10,GHA
26.849533,1908,11,GHA
26.149532,1908,12,GHA
26.883179,1909,1,GHA
29.639252,1909,2,GHA
31.017757,1909,3,GHA
29.058878,1909,4,GHA
27.86916,1909,5,GHA
25.523365,1909,6,GHA
24.9,1909,7,GHA
24.073832,1909,8,GHA
25.79159,1909,9,GHA
26.128973,1909,10,GHA
27.458878,1909,11,GHA
26.558878,1909,12,GHA
26.166355,1910,1,GHA
29.61402,1910,2,GHA
29.260748,1910,3,GHA
29.252338,1910,4,GHA
28.636448,1910,5,GHA
27.956076,1910,6,GHA
26.005606,1910,7,GHA
25.554205,1910,8,GHA
25.84299,1910,9,GHA
26.511215,1910,10,GHA
27.294394,1910,11,GHA
26.563553,1910,12,GHA
26.659815,1911,1,GHA
28.926168,1911,2,GHA
29.616821,1911,3,GHA
29.2514,1911,4,GHA
28.017757,1911,5,GHA
25.741123,1911,6,GHA
25.615887,1911,7,GHA
25.014954,1911,8,GHA
25.610281,1911,9,GHA
26.499065,1911,10,GHA
26.829906,1911,11,GHA
25.431776,1911,12,GHA
27.274765,1912,1,GHA
28.811214,1912,2,GHA
29.246729,1912,3,GHA
29.892523,1912,4,GHA
28.546728,1912,5,GHA
26.917759,1912,6,GHA
26.079441,1912,7,GHA
25.807476,1912,8,GHA
26.02056,1912,9,GHA
26.46542,1912,10,GHA
26.252338,1912,11,GHA
26.300934,1912,12,GHA
27.23458,1913,1,GHA
29.127102,1913,2,GHA
28.104671,1913,3,GHA
28.856075,1913,4,GHA
28.847662,1913,5,GHA
28.133646,1913,6,GHA
26.729908,1913,7,GHA
26.739252,1913,8,GHA
26.62617,1913,9,GHA
26.586918,1913,10,GHA
26.2,1913,11,GHA
25.823364,1913,12,GHA
28.46542,1914,1,GHA
28.610281,1914,2,GHA
28.805607,1914,3,GHA
28.909344,1914,4,GHA
29.27944,1914,5,GHA
27.935513,1914,6,GHA
26.193457,1914,7,GHA
25.636448,1914,8,GHA
25.672897,1914,9,GHA
26.742056,1914,10,GHA
27.62617,1914,11,GHA
25.908411,1914,12,GHA
25.864487,1915,1,GHA
28.132711,1915,2,GHA
29.787851,1915,3,GHA
28.541122,1915,4,GHA
28.027103,1915,5,GHA
25.961681,1915,6,GHA
25.671963,1915,7,GHA
25.276636,1915,8,GHA
25.479439,1915,9,GHA
26.26542,1915,10,GHA
26.788784,1915,11,GHA
25.864487,1915,12,GHA
25.76916,1916,1,GHA
27.674765,1916,2,GHA
29.205606,1916,3,GHA
28.372898,1916,4,GHA
27.507477,1916,5,GHA
26.054205,1916,6,GHA
25.7,1916,7,GHA
24.718693,1916,8,GHA
24.95888,1916,9,GHA
25.936447,1916,10,GHA
26.035513,1916,11,GHA
26.504673,1916,12,GHA
26.968225,1917,1,GHA
28.93458,1917,2,GHA
28.453272,1917,3,GHA
28.43925,1917,4,GHA
27.277569,1917,5,GHA
25.986917,1917,6,GHA
25.670094,1917,7,GHA
25.338318,1917,8,GHA
25.051403,1917,9,GHA
26.030842,1917,10,GHA
25.706543,1917,11,GHA
26.154205,1917,12,GHA
26.317759,1918,1,GHA
27.281307,1918,2,GHA
27.932713,1918,3,GHA
28.530842,1918,4,GHA
27.473831,1918,5,GHA
26.58598,1918,6,GHA
25.55888,1918,7,GHA
24.454205,1918,8,GHA
24.960749,1918,9,GHA
26.425236,1918,10,GHA
26.68785,1918,11,GHA
26.44299,1918,12,GHA
26.942057,1919,1,GHA
29.027103,1919,2,GHA
29.456076,1919,3,GHA
29.027103,1919,4,GHA
28.030842,1919,5,GHA
26.58598,1919,6,GHA
25.54112,1919,7,GHA
25.294392,1919,8,GHA
25.725235,1919,9,GHA
26.81215,1919,10,GHA
27.298132,1919,11,GHA
26.54486,1919,12,GHA
26.949533,1920,1,GHA
29.027103,1920,2,GHA
29.456076,1920,3,GHA
29.075703,1920,4,GHA
28.123363,1920,5,GHA
26.604671,1920,6,GHA
25.584112,1920,7,GHA
25.294392,1920,8,GHA
25.76916,1920,9,GHA
26.81215,1920,10,GHA
27.236446,1920,11,GHA
26.518692,1920,12,GHA
26.885046,1921,1,GHA
29.001867,1921,2,GHA
29.48972,1921,3,GHA
29.057943,1921,4,GHA
28.017757,1921,5,GHA
26.51215,1921,6,GHA
25.602804,1921,7,GHA
25.338318,1921,8,GHA
25.787851,1921,9,GHA
26.887852,1921,10,GHA
27.236446,1921,11,GHA
26.51028,1921,12,GHA
26.968225,1922,1,GHA
29.027103,1922,2,GHA
29.531775,1922,3,GHA
29.057943,1922,4,GHA
28.123363,1922,5,GHA
26.638317,1922,6,GHA
25.602804,1922,7,GHA
24.52243,1922,8,GHA
24.790653,1922,9,GHA
26.190655,1922,10,GHA
26.714954,1922,11,GHA
26.026169,1922,12,GHA
27.100933,1923,1,GHA
28.121496,1923,2,GHA
28.644861,1923,3,GHA
27.556076,1923,4,GHA
27.323364,1923,5,GHA
26.414953,1923,6,GHA
25.654205,1923,7,GHA
24.740187,1923,8,GHA
25.595327,1923,9,GHA
26.53458,1923,10,GHA
26.752338,1923,11,GHA
26.890656,1923,12,GHA
26.331776,1924,1,GHA
29.68598,1924,2,GHA
29.8514,1924,3,GHA
28.22617,1924,4,GHA
27.438318,1924,5,GHA
26.256077,1924,6,GHA
25.116823,1924,7,GHA
25.10841,1924,8,GHA
25.899067,1924,9,GHA
26.474766,1924,10,GHA
26.985046,1924,11,GHA
26.318691,1924,12,GHA
24.973831,1925,1,GHA
28.079441,1925,2,GHA
29.207478,1925,3,GHA
29.294394,1925,4,GHA
27.750467,1925,5,GHA
25.508411,1925,6,GHA
25.235514,1925,7,GHA
24.811214,1925,8,GHA
